Auteurs,References articles
Igor Frenkel,['9407047']
N.W.Park,['9407048']
M.Kibler,"['9407050', '9407054', '9407065', '9407071', '9409033', '9409051', '9409196', '9410002']"
R.Barbier,['9407054']
J.Meyer,['9407054']
Mark A.Walton,"['9407055', '0104240', '0105294', '0106287', '0110223', '0112078', '0205161']"
Minoru Wakimoto,"['9407057', '9706026', '9807144']"
G.Jorjadze L.O'Raifeartaigh I.Tsutsui,['9407059']
V.V.Sreedhar,"['9407060', '9606127', '9709143', '9802077', '9802078', '9811090', '9906116', '0003247', '0007199']"
C.Campigotto,['9407065']
Yu.F.Smirnov,"['9407065', '9407077', '9412082', '9510006']"
P.Cotta-Ramusino,"['9407070', '9407097', '9502110', '9705123', '9706160']"
L.Jenkovszky,['9407071']
A.Mishchenko,['9407071']
Chul H.Lee,"['9407072', '9805164', '9909106']"
Joon Ha Kim,['9407072']
N.S.Ananikian,['9407073']
R.R.Lusiniants,['9407073']
K.A.Oganessyan,['9407073']
Nils-Peter Skoruppa,"['9407074', '9410077', '9607165']"
M.R.Kibler,"['9407077', '9412082']"
C.A.Lütken,['9407078']
Jens Böckenhauer,"['9407079', '9410017', '9607016']"
M.A.Rodriguez,"['9407080', '0006039', '0102039', '0103190', '0202080']"
C.H.Oh,"['9407081', '9407142', '9407158', '9408001', '9504136', '9509152', '9510010', '9610164']"
K.Singh,"['9407081', '9407142', '9407158', '9408001', '9510010']"
Claus Nowak,['9407083']
Maurice Kibler,['9407084']
Edwin Lim-Lombridas,"['9407090', '9409133', '9502059', '9610146']"
G.Bonelli,"['9407091', '9502089', '9602174', '9605090', '9610026', '9712025', '9805071', '9807232', '9810194', '9812120', '9901093', '9905092', '9912227', '0004058', '0012075', '0107051', '0111126', '0112042', '0205213', '0209225', '0210212', '0301089']"
D.Bar-Moshe,"['9407092', '9407093']"
M.S.Marinov,"['9407092', '9407093']"
Vincent Moulton,['9407094']
Mikolaj Sawicki,['9407095']
Janna Levin,['9407101']
M.K.Murray,"['9407102', '9408141', '9511169', '0106194']"
M.W.De Oliveira,"['9407105', '9612074', '9811103']"
Cyril Furtlehner,['9407107']
M.Chu,['9407108']
P.Goddard,"['9407108', '9410029']"
Meifang Chu,['9407116']
Peter Goddard,"['9407116', '9810019']"
R.E.Kallosh,['9407118']
J.C.Parikh,['9407121']
A.Ferrando,"['9407123', '9407143', '9507122', '9701006']"
A.Jaramillo,"['9407123', '9507122', '9701006', '9807032', '9808067']"
Israel Gelfand,['9407124']
D.Krob,"['9407124', '9411194']"
Alain Lascoux,['9407124']
B.Leclerc,"['9407124', '9411194']"
V.S.Retakh,['9407124']
J.-Y.Thibon,['9407124']
James Steele,['9407125']
Harvendra Singh,"['9407133', '9411065', '9710189', '9801038', '9808181', '0003106', '0005051', '0102110', '0109147', '0201206', '0205020', '0212103']"
Marek Pawlowski,"['9407137', '9808021']"
Ryszard Raczka,['9407137']
Piotr Bizoń,['9407140']
V.Vento,['9407143']
S.Dusini,['9407144']
H.E.Boos,"['9407146', '9504119', '0104008', '0105144', '0209246']"
S.J.Gates Jr,"['9407147', '9606107', '9606109', '0202112']"
E.Corrigan P.E.Dorey,['9407148']
O.V.Kechkin,"['9407155', '9504155', '9507005', '9507164']"
Keiji Kikkawa,"['9407160', '9703064', '9705099']"
Humitaka Tamura,['9407160']
R.Bonisch,"['9407162', '9411123']"
Marco Vekic,['9407166']
Shao Liu,['9407166']
V.A.Miransky,"['9407168', '9511224', '9605027', '9611142', '9802136', '9805159', '9811079']"
I.A.Shovkovy,"['9407168', '9504002', '9605027', '9711016', '9804143', '9807059', '9810144', '9811079', '9905116']"
M.Baig,"['9407170', '9507124']"
N.A.Ansari,['9407171']
V,['9407171']
I,['9407171']
Man'Ko,['9407171']
R.Romano,['9407171']
Ya.A.Korennoy,['9407172']
Y.A.Muukhin,['9407172']
F.A.Lunev,"['9407174', '9407175', '9408161', '9412121', '9503133', '9609166']"
G.Lifschytz,"['9407177', '9408039', '9705130', '9711098', '0105089']"
J.Ruan,['9407178']
R.J.Crewther,"['9407178', '9505152']"
E.Fradkin,"['9407182', '9902065']"
G.Papadopoulos P.C.West,['9407183']
Erich Poppitz,"['9407185', '9507169', '9605113', '9606103', '9608157', '9708134', '9803107', '9806080', '9810010', '9909199', '9911029', '0003282', '0006093', '0012033', '0301048']"
Lisa Randall,"['9407185', '9605108', '9607021', '9608157', '9810155', '9906064', '9908076', '0011156', '0012148', '0105108', '0106261', '0108114', '0108115', '0112080', '0204038', '0208120', '0301218', '0302034']"
M.R.Gaberdiel,"['9407186', '9410115', '9508105', '9601016', '9601163', '9607036', '9705130', '9711098', '9806024', '9806155', '9812252', '9901014', '9906055', '9910109', '0001130', '0108102', '0108238']"
B.H.Lian,"['9407192', '9602147']"
S.S.Roan,['9407192']
S.-T.Yau,"['9407192', '9701023', '9903053', '9904182', '9910245']"
Hanying Guo,"['9408150', '9408151', '9408152']"
Jianming Li,"['9408150', '9408151', '9408152', '9408157', '9611080']"
10 Pages,['9408150']
Latex Asitp-93-67,['9408150']
7 Pages,['9408151']
Latex,"['9408151', '9411027', '9611077']"
Asitp-94-25,['9408151']
Jeeva Anandan,"['9408153', '9609235', '9706181']"
Shinya Wada,"['9408156', '9507111', '9512064', '9606159', '9607076', '9704025', '9808034']"
Hao-Gang Ding,['9408159']
Ulrich Bunke,['9408162']
F.Antonuccio,"['9408166', '9411204', '9512106', '9612021', '9705045', '9707146', '9803170', '9805188', '9806133', '9807035', '9808120', '9809165', '9810158', '9811254', '9904027', '9904140']"
Paul Sutcliffe,"['9408168', '9409181', '9409182', '9507173', '9601146', '9601147', '9601148', '9603065', '9605192', '9609136', '9610030', '9610113', '9610141', '9702089', '9705151', '9707009', '9708006', '9709221', '9811077', '9901075', '9903183', '9905066', '9907156', '9907157', '0003252', '0103026', '0105179', '0201101', '0210147', '0212106']"
L.H.Ford,"['9408172', '9411109']"
Azizollah Shafiekhani,['9408173']
N.J.Watson,['9408174']
Valeri Dvoeglazov,"['9408176', '9408146']"
H.Garca-Compeán,['9408003']
J.M.López-Romero,['9408003']
M.A.Rodrguez-Segura,['9408003']
M.Socolovsky,"['9408003', '9812006']"
Jon R.Links,"['9408006', '9411241']"
Stefan Berceanu,['9408008']
Yu.M.Zinoviev,"['9408009', '9409199', '9411096', '9411104', '9503064', '9512041', '9605143', '9607034', '9708150', '9804193', '0010150', '0108192', '0206209', '0211233', '0304067']"
T.Daiber,['9408010']
S.Viefers,"['9408011', '9412221']"
Paul S.Norridge,"['9408014', '9606067']"
P.Pascual,['9408016']
R.Tarrach,"['9408016', '9511010']"
S.Giller,"['9408017', '9503046']"
A.Gangopadhyaya,"['9408022', '9807081', '9810074', '9904052', '0011096']"
A.Pagnamenta,['9408022']
Rainer Dick,"['9408024', '9410099', '9506197', '9509118', '9609190', '9701047', '9704193', '9707195', '0001013', '0007063', '0105320', '0110162']"
Christoph Wetterich,['9408025']
T.Sommer,"['9408030', '9409046', '9409081', '9503192', '9602152', '9609240']"
M.Yu.Kalmykov,"['9408032', '9411041', '9412177', '9502152', '9503215', '9512058', '9610158', '9705191', '9809169', '0004010', '0005287', '0012189', '0203212', '0303162']"
K.V.Stepanyantz,"['9408032', '9809169', '0208006', '0301167', '0304083']"
Q.P.Liu,"['9408035', '9409008', '9502076', '9503164']"
Elizabeth Jurisich,['9408037']
R.L.Wilson,['9408037']
E.Keski-Vakkuri,['9408039']
S.D.Mathur,"['9408039', '9908160']"
M.B.D.Silva,['9408044']
T.G.Dargam,['9408045']
José Ignacio Latorre,['9408050']
E.Moreno,"['9408050', '9411122', '9609202', '9703048', '9802175', '9812176']"
Christof Wetterich,"['9408054', '9602039', '9612206', '9702125', '9906062', '0107221', '0209183']"
M.J.Rodriguez-Plaza,['9408056']
A.Shariati,"['9408059', '9408123', '9410135', '9412029', '9610015']"
A.Aghamohammadi,"['9408059', '9410135', '9412029', '9610015', '9610168', '9610169', '9611234', '9611009', '9707080', '9711155', '9807034']"
M.I.Leeming,['9408062']
Dmitri Fursaev,"['9408066', '9709213', '9802010']"
Vitor Lemes,['9408067']
Ricardo Renan,['9408067']
A.Feoli,"['9408071', '9505064', '9702131', '9812130']"
G.Scarpetta,"['9408071', '9505064', '9702130', '9702131', '9812130', '9912176', '0005257', '0006121', '0111242', '0202089']"
Leszek Hadasz,"['9408072', '9607116', '9609175', '9711101', '9907172', '0202051', '0302211']"
Pawel Wegrzyn,"['9408072', '9501009']"
A.Cucchieri,"['9408073', '0209173']"
Ricardo Amorim,"['9408075', '9612118', '9705203', '9707058', '9804022', '9812058', '9909115', '0109146']"
Jean-François Roussel,"['9408076', '9503167', '9605105']"
Mikhail Khovanov,['9408078']
H.-C.Kao,['9408079']
K.Lee,"['9408079', '9503200', '9802075', '9907068']"
C.Lee,['9408079']
T.Lee,['9408079']
C.Daboul,['9408080']
J.Daboul,['9408080']
P.Slodowy,['9408080']
Andreas Wisskirchen,"['9408082', '9501072', '9503129', '9506104', '9510055', '9601050', '9604140', '9609167', '9806131', '9812195']"
Jun-Ichirou Koga,"['9408084', '9508029']"
Kei-Ichi Maeda,"['9408084', '9508029', '9509074', '9512213', '9602034', '9605173', '9901130', '9912233', '9912287', '0008188']"
I.Vanzetta,['9408088']
Finn Larsen,"['9408089', '9506066', '9511064', '9604134', '9604189', '9609084', '9610077', '9610252', '9702153', '9703039', '9705192', '9706071', '9708090', '9712118', '9805097', '9805146', '9805208', '9806071', '9811120', '9905064', '9906127', '9909088', '9909102', '0002166', '0005031', '0008064', '0009244', '0010060', '0010181', '0012198', '0105227', '0202127', '0209159', '0212248']"
Jonathan D.Edwards,['9408094']
Atish Dabholkar,"['9408098', '9409158', '9506160', '9602030', '9604178', '9607041', '9702050', '9705239', '9804208', '9809122', '9908077', '0109019', '0111155', '0111004', '0203231', '0210209']"
K.M.Apfeldorf,['9408100']
C.R.Ordonez,['9408100']
Yuri Bespalov,"['9408102', '9408106']"
A.O.Barut,"['9408105', '9408145']"
J.R.Zeni,"['9408105', '9408145']"
A.J.Laufer,"['9408105', '9408145']"
Toshiaki Kaneko,['9408107']
A.Ashtekar,['9408108']
J.Lewandowski,['9408108']
D.Marolf,['9408108']
J.Mourao,['9408108']
T.Thiemann,"['9408108', '9711139', '0005232', '0005234', '0005235', '0005237']"
Yakov Kanter,"['9408110', '9511204', '9612181']"
W.Zippold,['9408111']
A.Niégawa,"['9408117', '9607150', '9610010', '9709140', '9810043', '9905090', '0203045']"
Motowo Yamanobe,"['9408122', '9412019', '9609187']"
Sumio Ishikawa,"['9408122', '9412019']"
Yasuhiro Iwama,"['9408122', '9412019']"
Tadashi Miyazaki,"['9408122', '9412019', '9609186', '9609187', '0011263', '0201263']"
Kazuyoshi Yamamoto,['9408122']
Ritsu Yoshida,['9408122']
S.Rouhani,"['9408123', '9503005', '9507165', '9507166', '9606143', '9606154', '9707060', '0002142', '0008165', '0012149', '0105123', '0201099', '0205016']"
Anne Schilling,"['9408125', '9508050', '9510168', '9512182']"
Marcelo Carvalho,"['9408127', '0212319']"
Luiz Claudio Queiroz Vilar,['9408127']
S.Bornholdt,"['9408132', '9507093']"
N.Tetradis,"['9408132', '9409010', '9501042', '9507093', '9507159', '9512073', '9706088', '0010180', '0012106', '0012107', '0106050', '0202037', '0207060', '0211200', '0303244']"
Zhan-Ning Hu,"['9408138', '9408139', '9410045', '9412013', '9412091', '9501062', '9503037', '9505007']"
Søren Köster,['9408140']
A.L.Carey,"['9408141', '9511169', '0106194']"
Kimio Ueno,['9408143']
Michitomo Nishizawa,['9408143']
A.A.Deriglazov,"['9409001', '9409078', '9412244', '9512036', '9604006', '9604074', '9610078', '9703104', '9706152', '9709025', '9711062', '9711196', '9801176', '9804055', '9804183', '9811229', '9912179', '0001099', '0006032', '0009078', '0101022', '0101090', '0110183', '0112053', '0201034', '0201120', '0207274', '0208072', '0208201', '0211105']"
A.V.Galajinsky,"['9409001', '9409078', '9512036', '9604006', '9703104', '9706152', '9711062', '9711196', '9811014']"
Myriam Mondragon,"['9409003', '9409032', '9502125', '9506092', '9510036']"
Nicholas D.Tracas,['9409003']
George Zoupanos,"['9409003', '9409032', '9409106', '9506092', '9711157', '9803095', '9804074', '9808178']"
J.A.Adams,['9409010']
Maurice R.Kibler,['9409012']
Alexander Belopolsky,"['9409015', '9412106', '9511077', '9511111', '9609220', '9703183', '9706033']"
C.R.Fernandez-Pousa,"['9409016', '9508084', '9606032', '9701109']"
M.V.Gallas,"['9409016', '9505118', '9512119', '9606032', '9701109']"
Kenichi Horie,"['9409018', '9506049', '9601066', '9905101', '9905189']"
John Hiller,['9409019']
Steve Pinsky,['9409019']
R.Schack,['9409022']
A.Molev,['9409025']
G.Olshanskii,['9409025']
V.L.Vereschagin,"['9409026', '9411211', '9605092']"
H.Sazdjian,"['9409027', '9606115', '9609117', '9704048']"
Y.S.Stanev,['9409027']
I.T.Todorov,"['9409027', '9409165', '9512160', '9710134', '9810105', '9910206', '0003210', '0007187', '0211154']"
Masao Jinzenji,"['9409029', '9412226', '9505057', '9511206', '9709152', '9911220', '0012242', '0109159', '0203179']"
P.G.Savvidy,['9409031']
L.G.Mardoyan,"['9409033', '9601093', '9610073', '9712235', '9801198', '9803010']"
A.V.Karabegov,['9409034']
U.Harder,['9409035']
A.Iskandar,['9409035']
W.Mcghee,['9409035']
Alexander Molev,"['9409036', '9409090']"
M.Bianchi,"['9409037', '9409118', '9410222', '9507003', '9607229', '9811013', '0003203']"
G.C.Rossi,"['9409037', '9409118', '9410222', '9507003', '9810177', '0003203']"
Dmitri D.Gal'Tsov,['9409041']
K.M.Benson,"['9409042', '9409109']"
A.V.Manohar,"['9409042', '9805144']"
M.Saadi,"['9409042', '9409109']"
Marcus T.Grisaru,"['9409043', '9711120', '9711151', '0008015', '0010177', '0011173', '0112246']"
Marcia E.Wehlau,"['9409043', '9410133']"
P.A.Blaga,['9409046']
H.Zerrouki,"['9409046', '9409081', '9505181', '9611070', '9904185', '9904204', '9904205', '9911127', '9911227', '0002234']"
Y.-S.Song,['9409047']
N.Ciccoli,['9409048']
Michael Grady,"['9409049', '0104237']"
T.Hatsuda,"['9409050', '9612097']"
H.Kuratsuji,['9409050']
M.Hage Hassan,['9409051']
M.Flato,['9409052']
D.Sternheimer,['9409052']
Moshé Flato,['9409053']
Daniel Sternheimer,"['9409053', '9602016', '9901043']"
Frédéric Bidegain,['9409054']
Georges Pinczon,['9409054']
Charilaos Aneziris,['9409055']
Alpan Raval,['9409059']
Murray Gerstenhaber,['9409063']
Alexander A.Voronov,"['9409063', '9410108']"
Akikazu Hashimoto,"['9409064', '9507062', '9604065', '9608127', '9610250', '9611214', '9703217', '9710240', '9711097', '9803023', '9805140', '9809106', '9812159', '9903067', '9903227', '9906087', '9907166', '9909202', '9911057', '0008016', '0008075', '0012093', '0107215', '0111092', '0208126', '0210105', '0304181']"
V.Ovsienko,"['9409065', '9409067', '9602170']"
C.Kristjansen,"['9409066', '9506193', '9512052', '9605013', '9609008', '9704017', '9705202', '9802020', '9907084', '9912267', '0010259', '0205033', '0208178', '0209244', '0212269', '0303060']"
C.Roger,"['9409067', '9602170']"
A.Shafei Deh Abad,"['9409070', '9503117', '9505148', '9606084']"
V.Milani,"['9409070', '9606084']"
Tomomi Muto,"['9409072', '9605017', '9711090', '9811258', '9905230', '9912273', '0107217', '0206012']"
E.A.Gaffney,['9409073']
Jens-U.H.Petersen,['9409079']
Y.J.Feng,['9409083']
Thomas Heinzl,"['9409084', '9604018', '9705159', '9812190', '0212202']"
M.C.Von Reichenbach,"['9409085', '9608138']"
M.L.Trobo,"['9409085', '9608138', '9610123', '9701160', '9712210', '9809092']"
H.T.Cho,"['9409091', '9503187', '9503188', '0004082']"
A.Abdesselam,"['9409094', '9605094']"
V.Rivasseau,"['9409094', '9605094', '9802145']"
A.Kapustin,"['9409097', '9410089', '9506067', '9803160', '9903195']"
A.Brignole,['9409099']
F.Maltoni,"['9409103', '9706198']"
L.Guieu,['9409105']
V.Yu.Ovsienko,['9409105']
Alexandros A.Kehagias,"['9409106', '9506205', '9602084', '9610062', '9611060']"
Patrick A.A.Meessen,['9409106']
Al.Zamolodchikov,"['9409108', '9702190', '9709034', '9807236', '0001012', '0005181', '0101152', '0109078']"
Paul Aspinwall,"['9409110', '9412115']"
Brian Greene,"['9409110', '9702155', '0101135']"
Moshe Rozali,"['9409112', '9604014', '9605168', '9702136', '9704089', '9705175', '9712168', '9803068', '9807082', '9902046', '9905024', '9909017', '9910238', '0003227', '0005047', '0012065', '0108001', '0204026', '0301048', '0301059', '0302160']"
B.M.Pimentel,"['9409115', '9503224', '9508161', '9510196', '9512099', '9602168', '9704088', '9803079', '9804048', '9810196', '9811114', '9905026', '9907161', '9911103', '9911219', '9911254', '0003283', '0008098', '0108116', '0301239']"
J.L.Tomazelli,"['9409115', '9503224', '9508161', '9510196', '9602168', '9803079', '9804048', '9811114', '9907161', '9912251', '0201204', '0210031', '0210092']"
K.Funahashi,['9409116']
K.Fujii,"['9409116', '9702104', '9905088']"
S.O.Fedoruk,"['9409117', '9807192']"
V.G.Zima,"['9409117', '9807192', '0009166', '0104178', '0206178']"
M.Tachibana,"['9409123', '9806221', '9902069', '9902070', '9912229', '0011058']"
H.Sato,['9409124']
Simone Artz,"['9409130', '9504085']"
Arne Schirrmacher,['9409132']
T.Matos,['9409135']
John F.Donoghue,"['9409143', '0012047', '0112237', '0211071', '0211072']"
Stamatis Vokos,"['9409147', '9501083']"
S.-W.Chung,['9409151']
G.Hockney,"['9409151', '9505054']"
J.Lykken,"['9409151', '9712193']"
T.Horiguchi,['9409152']
M.Sakmaoto,['9409152']
E.Dudas,"['9409154', '9512004', '9701048', '9704177', '9712022', '9807011', '9807079', '9812118', '9906039', '9907184', '9908023', '9911019', '9911081', '0004165', '0007090', '0010179', '0012071', '0107081', '0110186', '0205096', '0209176']"
D.Uglov,"['9409155', '9502068']"
R.Chakrabarti,"['9409161', '9410163']"
R.Jagannathan,"['9409161', '9410145', '9410163', '9411200']"
Ya.S.Stanev,"['9409165', '9503207', '9506014', '9607229', '0003203', '0007187', '0108035']"
Michele Bourdeau,"['9409166', '9412135', '9512149', '9706032', '9709174']"
S.K.Kauffmann,"['9409171', '9505189', '9505191', '9606164', '9907059']"
J.A.De Azcarraga,"['9409172', '9411121', '9605067', '9605213', '9611220', '9611221', '9612186', '9703019', '9711064', '9802192', '9810212', '9810230']"
S.Graffi,"['9409173', '9412156']"
V.R.Manfredi,"['9409173', '9412156', '9507172']"
L.Salasnich,"['9409173', '9412156', '9507172']"
Ante Perica,['9409180']
Nick Manton,['9409182']
Yong-Wan Kim,"['9409183', '9504151', '9507052', '9507100', '9512110', '9701102', '9702002', '9706018', '9711092', '9711186', '9712053', '9712099', '9803181', '9807180', '9810016', '9811066', '9812001', '0112170', '0204188', '0210085', '0301096']"
Kee Yong Kim,"['9409183', '9410122']"
Yongduk Kim,"['9409183', '9410122', '9504151', '9506166', '9507052', '9507100']"
E.Andres,['9409184']
Carmen Nunez,"['9409184', '9710049', '9711020', '9711021', '9801035', '0006070', '0105200']"
A.E.Goncalves,"['9409187', '9603052', '9708136', '9709119', '9711159', '9801071', '9805187', '9806116', '9901054', '9902130', '9908037', '0003084', '0004132', '0011252', '0108199']"
I.Andrić,"['9409191', '9411136', '9507110', '9605196']"
L.Jonke,"['9409191', '9411136', '9507110', '9605196', '0203245', '0301066']"
P.Labastie,['9409196']
M.M.Leite,"['9410003', '9709148', '9812153']"
K.-W.Xu,"['9410005', '9609126', '9610107', '9708055']"
L.L.Salcedo,"['9410007', '9412140', '9509089', '9609103', '9802071', '9807221', '9811073', '9910230', '0007183', '0012166', '0012174', '0107133', '0201057', '0212237']"
S.P.Clarke,['9410009']
J.F.Cornwell,['9410009']
Michael Bershadsky,"['9410011', '9610111', '9701165', '9703167', '9703194', '9803249', '9803076', '9805056', '9902180']"
Robert De Mello Koch,"['9410012', '9605079', '9701138', '9708080', '9709089', '9710201', '9811128', '9812097', '9903029', '9903207', '0008053', '0209155']"
João P.Rodrigues,"['9410012', '9605079', '9701138', '9708080', '9709089']"
M.Anazawa,"['9410015', '9508009', '9511220']"
A.Ishikawa,"['9410015', '9508009']"
Gabriele Ferretti,"['9410016', '9504013', '9508124', '9603081', '9607072', '9610082', '9703098', '9709171', '9804018', '9806018', '9806166', '9811208', '9904013', '0003151', '0011271', '0205295', '0210291', '0211249']"
M.Schaden,['9410019']
D.Zwanziger,"['9410019', '9807024', '0006036']"
K.N.Ilinski,"['9410020', '9503233', '9506111', '9507084', '9704181', '9705086']"
G.V.Kalinin,"['9410020', '9504038', '9704181', '9705086']"
V.V.Melezhik,['9410020']
V.Chari,"['9410022', '9410036', '9411144', '9411145']"
C.S.Lim,"['9410023', '9805067']"
Vasily E.Tarasov,"['9410025', '9506053', '9601063']"
A.Macintyre,['9410026']
Martin Koehler,['9410027']
D.A.R.Dalvit,['9410032']
Camillo Imbimbo,"['9410034', '9505127', '9511127', '9511156', '9801100']"
A.N.Theron,"['9410035', '9411142', '9609131']"
F.G.Scholtz,"['9410035', '9411142', '9606074', '9609131', '9706103', '9809030']"
H.B.Geyer,"['9410035', '9411142', '0303143']"
A.N.Pressley,"['9410036', '9411145']"
G.'T Hooft,"['9410038', '9411228', '9808154', '0204069']"
V.F Müller,['9410040']
M.T.Batchelor,"['9410042', '9502039', '9502040', '9502041', '9506074', '9712121', '0005100']"
Roberto Soldati,"['9410043', '9509003', '9802167', '9806163', '9810133', '0006170']"
I.A.B.Strachan,"['9410047', '9410048', '9604142', '9606022', '9606101', '9903264']"
Dieter Lüst,"['9410056', '9411095', '9412209', '9507113', '9601145', '9603108', '9607184', '9801081']"
M.Pitkänen,"['9410058', '9410059', '9410060', '9410061', '9410062', '9410207', '9506097']"
Robert Carroll,"['9410063', '9411192', '9506047', '9607219', '9610216', '9702138', '9705229', '9712110', '9802130', '9804086']"
Vadim Zeitlin,"['9410064', '9605194', '9612225', '9701100', '9807015', '9810058']"
Igor G.Korepanov,['9410066']
Koushik Ray,"['9410068', '9412014', '9503154', '9506037', '9602144', '9604164', '9609025', '9711131', '9803192', '9904113', '9909107', '0102146']"
P.B.Ramos,"['9410071', '9604072', '9605141', '9703023', '9704152']"
J.Loffelholz,['9410083']
G.Morchio,"['9410083', '9501118', '9705089', '0301111']"
F.Strocchi,"['9410083', '9501118', '9705089', '0301111']"
Thomas Wynter,"['9410087', '9502132', '9506174', '9703189', '9709029', '9806173', '9905087', '0006241']"
Shin-Ichi Kojima,"['9410090', '9412215', '9509143']"
D.Ivanov,"['9410091', '9610207']"
Haru-Tada Sato,"['9410092', '9510189', '9510082', '9604152', '9706176', '9709019', '9709047', '9802127', '9809053', '9812229', '9906068', '0003070', '0003268', '0011019', '0011119', '0107106', '0112176']"
Anastasios Petkou,"['9410093', '9906030', '0009106']"
M.Hindmarsh,['9410094']
K.Strobl,['9410094']
Brandon Carter,"['9410095', '9411231', '9507058', '9507059', '9611054', '9611082', '9704210', '9705083', '9705172', '9802019', '9806206', '9810178', '9905025', '0001136', '0002162', '0105091', '0106037', '0204042', '0302084']"
H.Boschi-Filho,"['9410098', '9505154', '9601131', '9612112', '9811084', '9811166', '9812045', '0009179', '0009243', '0009125', '0010081', '0108107', '0207071']"
K.Kirsten,"['9410101', '9412070', '9501048', '9501064', '9501093', '9503023', '9505157', '9508086', '9511060', '9602089', '9608070', '9608071', '9707083', '9709084', '9806168', '9811015', '9812060', '9905204', '9906144', '9910154', '0101105', '0103050', '0110217', '0209125']"
P L Christiansen,['9410102']
N A Kostov,['9410102']
Ioannis Bakas,"['9410104', '9411118', '9607243', '9706032', '9903256', '0211257']"
M.Costantini,['9410106']
M.Varagnolo,['9410106']
A.A.Btsenko,['9410112']
A.D.Odintsov,['9410112']
F.Barbarin,"['9410114', '9509088', '9606014', '9612070']"
K.Fredenhagen,"['9410115', '9807078', '9807215', '0001129', '0201222', '0301100']"
S.M.Rueger,['9410115']
Kostas Skenderis,"['9410116', '9504097', '9509158', '9510167', '9511141', '9608078', '9611066', '9801076', '9803231', '9803030', '9806087', '9810128', '9811231', '9812032', '9901050', '9903003', '9904073', '9905163', '9906030', '9909070', '9910201', '9910023', '0002230', '0010138', '0011230', '0105276', '0112119', '0204054', '0209067', '0210080', '0211011', '0212184', '0301221', '0302136']"
Chang-Ho Kim,"['9410122', '9708162', '9908063']"
R.Gianvittorio,"['9410123', '9502137', '9504146', '9601027', '9809008', '9909050']"
A.Pordt,['9410125']
N.N.Khuri,"['9410129', '9805036', '0111067', '0112021']"
George Leibbrandt,"['9410130', '9511113', '9511140', '9601046', '9911207']"
Jimmy Williams,"['9410130', '9601046']"
M.Calixto,"['9410131', '9507016', '9609083', '9612068', '9701180', '9702069', '9702071', '9702004', '9705049', '9707227', '9707237', '9809155', '9902175', '9903106', '9903141', '9911171', '0002109', '0003127', '0102111']"
J.L Vazquez-Bello,['9410139']
Timothy J.Hollwood,['9410140']
H.Gustafsson,"['9410143', '9805072', '9806060', '9807064', '9808072']"
P.Saltsidis,"['9410143', '9503062', '9609169', '9702081']"
R.V.Unge,['9410143']
I.Roditi,"['9410144', '9504008']"
L.M.C.S.Rodrigues,"['9410144', '9504008']"
S.Sciuto,"['9410144', '9504008', '9511013', '9604009', '9606059', '9702037', '9705097', '9707068', '9802088', '9805091']"
S.James Gates Jr,"['9410149', '0105161', '0106150', '0207243', '0211034']"
S.James Gates Jr.,"['9410150', '9501140', '9503237', '9504077', '9606108']"
L.Rana,"['9410150', '0109109']"
E.D'Hoker,"['9410152', '9804124', '9804125', '9804126', '9808156', '9903002', '9903068', '9906193', '9908160', '0003218', '0006103', '0301104']"
Paul P.Budnik Jr.,['9410153']
Hugo Garcia-Compean,"['9410154', '9512013', '9610248', '9612221', '9702046', '9710154', '9804188', '9807154', '9812226', '9907183', '0003019', '0010046', '0110119', '0202015', '0206183']"
Laura E.Morales,['9410154']
A.M.Ghezelbash,"['9410158', '9704082', '9708073', '9710068', '9805162', '9902104', '0105134', '0107224', '0109066', '0110001', '0111217', '0201004', '0203003', '0207123', '0210046', '0304097']"
A.J.Gill,['9410159']
R.J.Rivers,"['9410159', '9809080', '9906236', '0010178', '0204166']"
M.Horibe,['9410171']
K.Shigemoto,['9410171']
Hong-Bo Teng,"['9410172', '9411158', '9412034', '9412111', '9602146']"
Noriko Saitoh,['9410175']
Akinobu Shimizu,['9410175']
J.Rau,['9410176']
Hyeonjoon Shin,"['9410182', '9506166', '9603043', '9712021', '9806105', '9808183', '9901105', '9901152', '9903022', '0012247', '0202191', '0204055', '0206090', '0208074', '0210158', '0212343', '0303153']"
D.Buchholz,"['9410185', '9705089']"
C.D'Antoni,['9410185']
I.H.Duru,"['9410186', '9510015', '9609177', '0207186']"
G.Bandelloni,"['9410190', '9802086', '9912202', '0003027', '0011208', '0106052', '0201071', '0209055']"
S.Lazzarini,"['9410190', '9802083', '9802086', '9912202', '0003027', '0006106', '0011208', '0104038', '0106052', '0201071', '0209055', '0212156']"
J.Abad,"['9410193', '9502129']"
M.Rios,"['9410193', '9502129']"
J.Rasmussen,"['9410194', '9504127', '9506180', '9510059', '9512175', '9607129', '9610167', '9704052', '9706091', '9904141', '0007088', '0207201', '0209020', '0304019']"
M.Weis,"['9410194', '9702188']"
Luis J.Boya,"['9410198', '9701038', '0301037']"
John Madore,"['9410199', '0001203', '0005273', '0009230', '0106205', '0107068']"
Thierry Masson,['9410199']
Jihad Mourad,['9410199']
A.Niemeyer,"['9410205', '9503170', '9508173']"
A.Font,"['9410206', '9508033', '9510093', '9602097', '9607121', '9706158', '9804026', '9908155']"
